md5,content,phone,conntime,recitime,lng,lat
3b12914273b6a117b1f2d4976b9bd294,"办证制章 电话微信15229266807 见货付款－请保留以备急需      
",15229266807,1489007330000,1489007332000,116.47432709,39.84563446
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489011084000,1489012787000,116.47954559,39.86788177
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489006585000,1489012787000,116.47954559,39.86788177
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489006585000,1489012787000,116.47954559,39.86788177
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489002683000,1489012787000,116.48821259,39.86685944
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1488998484000,1489012787000,116.48821259,39.86685944
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489015913000,1489015963000,116.43128204,39.96960449
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489015637000,1489015963000,116.44500732,39.99137497
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489015619000,1489015963000,116.44713593,39.99437332
a72680d802e46c72bb8d1dce2b811ae0,"您好！我是之前给您开发票的，比之前给您的点数优惠，如有再需请联系电话13323267038，QQ2971592149王经理
",13323267038,1489015592000,1489015963000,116.4464798,39.99578476
c7b101036fbe2b1dadd5517b6b94b1d3,"您好，本公司代开北京各行业正规机打发票 点底保真 可查可验 验后付款电话13126651118张
",13126651118,1489018581000,1489018622000,116.57997131,39.85813904
c7b101036fbe2b1dadd5517b6b94b1d3,"您好，本公司代开北京各行业正规机打发票 点底保真 可查可验 验后付款电话13126651118张
",13126651118,1489018346000,1489018622000,116.59134674,39.85700607
c7b101036fbe2b1dadd5517b6b94b1d3,"您好，本公司代开北京各行业正规机打发票 点底保真 可查可验 验后付款电话13126651118张
",13126651118,1489018269000,1489018622000,116.57997131,39.85813904
